iter	Passed	Remaining
0	77	77071
1	152	75861
2	221	73705
3	292	72920
4	363	72253
5	429	71229
6	498	70761
7	561	69637
8	631	69551
9	698	69121
10	765	68822
11	818	67358
12	880	66847
13	942	66391
14	1002	65816
15	1062	65341
16	1129	65325
17	1196	65274
18	1267	65419
19	1334	65371
20	1391	64852
21	1461	64963
22	1528	64912
23	1593	64785
24	1652	64457
25	1709	64054
26	1769	63774
27	1822	63255
28	1878	62909
29	1939	62720
30	1992	62284
31	2048	61952
32	2109	61820
33	2158	61335
34	2212	61000
35	2260	60523
36	2319	60361
37	2367	59935
38	2419	59627
39	2472	59336
40	2525	59082
41	2577	58784
42	2633	58600
43	2683	58306
44	2727	57875
45	2772	57497
46	2818	57151
47	2861	56756
48	2902	56326
49	2955	56160
50	3013	56075
51	3055	55704
52	3100	55405
53	3143	55073
54	3190	54826
55	3237	54579
56	3287	54380
57	3339	54243
58	3381	53929
59	3451	54076
60	3499	53863
61	3548	53682
62	3593	53452
63	3636	53187
64	3680	52945
65	3722	52681
66	3773	52543
67	3824	52416
68	3873	52258
69	3919	52076
70	3962	51852
71	4013	51732
72	4053	51474
73	4101	51321
74	4142	51090
75	4184	50878
76	4237	50790
77	4284	50641
78	4326	50440
79	4368	50236
80	4412	50064
81	4454	49863
82	4496	49675
83	4536	49469
84	4576	49259
85	4622	49123
86	4688	49203
87	4732	49045
88	4777	48905
89	4819	48728
90	4863	48577
91	4908	48449
92	4975	48523
93	5019	48377
94	5059	48200
95	5108	48106
96	5159	48027
97	5204	47902
98	5247	47754
99	5289	47609
100	5331	47458
101	5370	47285
102	5413	47141
103	5463	47066
104	5503	46910
105	5546	46778
106	5601	46748
107	5647	46643
108	5692	46536
109	5739	46441
110	5783	46319
111	5824	46178
112	5864	46030
113	5903	45880
114	5947	45773
115	6002	45742
116	6047	45637
117	6090	45524
118	6137	45435
119	6180	45325
120	6223	45213
121	6262	45071
122	6305	44960
123	6347	44839
124	6388	44716
125	6440	44676
126	6483	44569
127	6522	44433
128	6565	44332
129	6611	44243
130	6655	44148
131	6701	44068
132	6748	43993
133	6793	43901
134	6832	43779
135	6874	43673
136	6916	43568
137	6961	43484
138	7001	43370
139	7043	43264
140	7091	43200
141	7131	43090
142	7178	43018
143	7224	42944
144	7268	42856
145	7318	42808
146	7360	42709
147	7400	42601
148	7445	42525
149	7502	42514
150	7554	42474
151	7596	42381
152	7637	42279
153	7689	42241
154	7728	42133
155	7770	42039
156	7810	41935
157	7850	41836
158	7891	41740
159	7936	41665
160	7975	41563
161	8015	41462
162	8071	41447
163	8108	41335
164	8148	41238
165	8194	41171
166	8236	41081
167	8272	40969
168	8323	40927
169	8373	40881
170	8422	40833
171	8477	40809
172	8529	40774
173	8580	40734
174	8625	40662
175	8671	40599
176	8711	40508
177	8751	40415
178	8790	40317
179	8835	40248
180	8885	40203
181	8924	40110
182	8963	40019
183	9006	39942
184	9058	39905
185	9095	39806
186	9141	39744
187	9180	39652
188	9239	39646
189	9285	39585
190	9332	39528
191	9371	39438
192	9422	39399
193	9478	39378
194	9539	39380
195	9578	39290
196	9625	39233
197	9667	39157
198	9707	39073
199	9753	39014
200	9793	38928
201	9834	38849
202	9873	38763
203	9914	38685
204	9962	38635
205	10000	38545
206	10046	38486
207	10091	38426
208	10139	38374
209	10206	38395
210	10244	38309
211	10289	38246
212	10348	38235
213	10390	38161
214	10426	38067
215	10463	37977
216	10509	37922
217	10552	37854
218	10607	37829
219	10652	37768
220	10700	37718
221	10749	37670
222	10796	37619
223	10835	37535
224	10876	37461
225	10924	37415
226	10965	37339
227	11005	37263
228	11058	37232
229	11098	37156
230	11138	37079
231	11179	37007
232	11218	36930
233	11263	36870
234	11302	36794
235	11345	36727
236	11382	36644
237	11425	36579
238	11469	36520
239	11508	36444
240	11558	36401
241	11606	36354
242	11646	36281
243	11695	36235
244	11740	36178
245	11793	36147
246	11835	36082
247	11871	35997
248	11924	35966
249	11969	35908
250	12018	35864
251	12070	35826
252	12113	35764
253	12161	35717
254	12203	35653
255	12243	35583
256	12290	35531
257	12335	35475
258	12376	35409
259	12416	35340
260	12457	35271
261	12493	35190
262	12541	35144
263	12608	35151
264	12656	35104
265	12701	35048
266	12750	35004
267	12816	35005
268	12856	34936
269	12897	34870
270	12939	34806
271	12995	34783
272	13036	34717
273	13076	34649
274	13123	34599
275	13166	34537
276	13217	34499
277	13272	34469
278	13309	34394
279	13351	34331
280	13392	34268
281	13432	34199
282	13472	34132
283	13507	34053
284	13548	33989
285	13587	33920
286	13630	33862
287	13668	33792
288	13713	33738
289	13749	33663
290	13794	33608
291	13839	33555
292	13879	33489
293	13925	33440
294	13968	33383
295	14008	33318
296	14049	33255
297	14088	33188
298	14128	33123
299	14184	33097
300	14246	33084
301	14294	33037
302	14363	33040
303	14414	33001
304	14475	32986
305	14523	32939
306	14572	32895
307	14619	32847
308	14682	32833
309	14733	32793
310	14788	32763
311	14846	32737
312	14902	32709
313	14955	32672
314	15010	32641
315	15060	32600
316	15109	32554
317	15155	32504
318	15214	32480
319	15277	32465
320	15346	32461
321	15410	32448
322	15459	32402
323	15507	32355
324	15563	32325
325	15600	32253
326	15640	32190
327	15684	32134
328	15720	32062
329	15765	32008
330	15815	31965
331	15859	31910
332	15898	31845
333	15938	31781
334	15979	31720
335	16019	31658
336	16066	31609
337	16106	31546
338	16149	31489
339	16201	31449
340	16240	31386
341	16283	31328
342	16324	31267
343	16364	31206
344	16405	31146
345	16443	31081
346	16480	31013
347	16521	30954
348	16561	30893
349	16602	30833
350	16645	30776
351	16685	30716
352	16725	30655
353	16785	30630
354	16842	30601
355	16880	30537
356	16919	30474
357	16960	30415
358	17011	30374
359	17069	30346
360	17111	30288
361	17169	30260
362	17233	30242
363	17277	30187
364	17318	30130
365	17360	30072
366	17407	30024
367	17452	29972
368	17490	29909
369	17536	29859
370	17580	29805
371	17619	29745
372	17667	29698
373	17706	29637
374	17748	29581
375	17794	29531
376	17833	29469
377	17872	29408
378	17922	29366
379	17962	29307
380	18014	29268
381	18050	29201
382	18089	29142
383	18128	29081
384	18164	29016
385	18207	28962
386	18274	28946
387	18323	28901
388	18374	28861
389	18418	28808
390	18478	28781
391	18527	28737
392	18571	28684
393	18629	28654
394	18682	28615
395	18733	28573
396	18796	28549
397	18850	28512
398	18901	28470
399	18956	28434
400	19000	28382
401	19069	28366
402	19112	28313
403	19149	28249
404	19191	28194
405	19237	28146
406	19291	28108
407	19332	28051
408	19379	28003
409	19420	27947
410	19461	27890
411	19501	27832
412	19550	27786
413	19601	27744
414	19663	27718
415	19731	27700
416	19771	27642
417	19816	27591
418	19860	27539
419	19902	27483
420	19948	27435
421	19992	27383
422	20037	27332
423	20091	27293
424	20131	27236
425	20171	27179
426	20213	27124
427	20257	27073
428	20310	27033
429	20346	26971
430	20393	26922
431	20444	26881
432	20488	26829
433	20537	26783
434	20593	26748
435	20660	26726
436	20723	26698
437	20781	26664
438	20833	26623
439	20884	26580
440	20929	26529
441	20969	26473
442	21012	26419
443	21054	26365
444	21094	26308
445	21133	26250
446	21171	26192
447	21206	26129
448	21246	26073
449	21293	26025
450	21331	25966
451	21377	25918
452	21414	25857
453	21460	25809
454	21504	25758
455	21546	25704
456	21596	25660
457	21646	25616
458	21705	25582
459	21772	25558
460	21825	25517
461	21869	25467
462	21912	25415
463	21958	25366
464	22004	25316
465	22050	25268
466	22093	25215
467	22161	25192
468	22204	25139
469	22246	25086
470	22287	25032
471	22330	24979
472	22374	24928
473	22430	24890
474	22479	24845
475	22523	24794
476	22566	24743
477	22614	24695
478	22667	24655
479	22713	24605
480	22755	24552
481	22796	24499
482	22840	24447
483	22885	24398
484	22935	24353
485	22985	24309
486	23053	24283
487	23097	24233
488	23139	24180
489	23189	24135
490	23240	24092
491	23284	24041
492	23327	23989
493	23371	23939
494	23415	23888
495	23460	23838
496	23518	23802
497	23564	23753
498	23610	23705
499	23649	23649
500	23691	23596
501	23734	23545
502	23792	23508
503	23835	23456
504	23872	23400
505	23916	23348
506	23957	23296
507	23999	23243
508	24037	23187
509	24078	23133
510	24119	23081
511	24157	23025
512	24205	22978
513	24251	22930
514	24292	22877
515	24331	22823
516	24373	22770
517	24414	22718
518	24454	22663
519	24490	22606
520	24538	22560
521	24577	22506
522	24618	22453
523	24659	22400
524	24705	22352
525	24750	22303
526	24799	22258
527	24853	22217
528	24889	22160
529	24942	22118
530	24993	22075
531	25050	22036
532	25092	21985
533	25141	21940
534	25180	21886
535	25227	21839
536	25277	21794
537	25318	21742
538	25356	21687
539	25398	21635
540	25438	21583
541	25473	21525
542	25512	21472
543	25547	21414
544	25587	21362
545	25629	21310
546	25665	21254
547	25709	21205
548	25747	21151
549	25788	21099
550	25827	21046
551	25865	20992
552	25904	20938
553	25943	20886
554	25985	20834
555	26023	20781
556	26063	20729
557	26126	20695
558	26167	20643
559	26208	20592
560	26251	20542
561	26297	20495
562	26336	20442
563	26377	20390
564	26420	20341
565	26463	20291
566	26501	20238
567	26548	20192
568	26592	20143
569	26646	20101
570	26705	20063
571	26765	20027
572	26846	20006
573	26893	19958
574	26945	19916
575	26986	19865
576	27035	19819
577	27083	19773
578	27132	19728
579	27184	19685
580	27233	19640
581	27295	19603
582	27345	19559
583	27402	19519
584	27447	19471
585	27495	19425
586	27543	19378
587	27619	19352
588	27683	19317
589	27740	19276
590	27821	19253
591	27900	19228
592	27984	19207
593	28049	19172
594	28110	19134
595	28171	19095
596	28254	19072
597	28324	19041
598	28385	19002
599	28466	18977
600	28525	18937
601	28592	18903
602	28687	18887
603	28737	18841
604	28784	18793
605	28837	18749
606	28912	18719
607	28952	18666
608	29001	18619
609	29056	18577
610	29115	18536
611	29158	18486
612	29202	18435
613	29254	18391
614	29297	18341
615	29336	18287
616	29377	18235
617	29420	18185
618	29465	18136
619	29512	18088
620	29556	18038
621	29601	17989
622	29639	17936
623	29679	17883
624	29725	17835
625	29773	17788
626	29815	17737
627	29862	17689
628	29900	17636
629	29943	17585
630	29994	17540
631	30039	17491
632	30104	17454
633	30155	17408
634	30199	17358
635	30277	17328
636	30353	17297
637	30405	17252
638	30473	17215
639	30520	17168
640	30579	17126
641	30627	17078
642	30666	17026
643	30708	16975
644	30749	16923
645	30803	16879
646	30844	16828
647	30885	16777
648	30930	16728
649	30971	16677
650	31017	16628
651	31060	16578
652	31119	16536
653	31167	16489
654	31223	16445
655	31285	16405
656	31329	16356
657	31372	16306
658	31427	16262
659	31467	16210
660	31508	16159
661	31547	16107
662	31588	16056
663	31629	16005
664	31665	15951
665	31711	15903
666	31750	15851
667	31790	15799
668	31829	15748
669	31872	15698
670	31923	15652
671	31970	15604
672	32017	15556
673	32058	15506
674	32107	15458
675	32157	15412
676	32208	15366
677	32263	15322
678	32311	15275
679	32358	15227
680	32427	15190
